,0
0,hsa-mir-31
1,hsa-mir-17
2,hsa-mir-18a
3,hsa-mir-199a-1
4,hsa-mir-199a-2
5,hsa-mir-20a
6,hsa-mir-221
7,hsa-mir-328
8,hsa-mir-200a
9,hsa-mir-200b
10,hsa-mir-15a
11,hsa-mir-126
12,hsa-mir-191
13,hsa-mir-29a
14,hsa-mir-16-1
15,hsa-mir-16-2
16,hsa-mir-200c
17,hsa-mir-92a-1
18,hsa-mir-1-1
19,hsa-mir-133a-1
20,hsa-mir-133a-2
21,hsa-mir-27a
22,hsa-mir-29c
23,hsa-mir-124-1
24,hsa-mir-124-2
25,hsa-mir-124-3
26,hsa-mir-34a
27,hsa-mir-19a
28,hsa-mir-19b-1
29,hsa-mir-218-1
30,hsa-mir-218-2
31,hsa-mir-181a-1
32,hsa-mir-29b-1
33,hsa-mir-29b-2
34,hsa-mir-145
35,hsa-mir-519d
36,hsa-let-7e
37,hsa-mir-125b-1
38,hsa-mir-125b-2
39,hsa-mir-196a-2
